"","time","datetime","dayinweek","hourinday","hourinweek","week"
"40",40,"2015-03-01 19:30:00",7,40,328,0
"41",41,"2015-03-01 20:00:00",7,41,329,0
"42",42,"2015-03-01 20:30:00",7,42,330,0
"43",43,"2015-03-01 21:00:00",7,43,331,0
"44",44,"2015-03-01 21:30:00",7,44,332,0
"45",45,"2015-03-01 22:00:00",7,45,333,0
"46",46,"2015-03-01 22:30:00",7,46,334,0
"47",47,"2015-03-01 23:00:00",7,47,335,0
"48",48,"2015-03-01 23:30:00",7,48,336,0
"49",49,"2015-03-02 00:00:00",1,1,1,1
"50",50,"2015-03-02 00:30:00",1,2,2,1
"51",51,"2015-03-02 01:00:00",1,3,3,1
"52",52,"2015-03-02 01:30:00",1,4,4,1
"53",53,"2015-03-02 02:00:00",1,5,5,1
"54",54,"2015-03-02 02:30:00",1,6,6,1
"55",55,"2015-03-02 03:00:00",1,7,7,1
"56",56,"2015-03-02 03:30:00",1,8,8,1
"57",57,"2015-03-02 04:00:00",1,9,9,1
"58",58,"2015-03-02 04:30:00",1,10,10,1
"59",59,"2015-03-02 05:00:00",1,11,11,1
"60",60,"2015-03-02 05:30:00",1,12,12,1
"61",61,"2015-03-02 06:00:00",1,13,13,1
"62",62,"2015-03-02 06:30:00",1,14,14,1
"63",63,"2015-03-02 07:00:00",1,15,15,1
"64",64,"2015-03-02 07:30:00",1,16,16,1
"65",65,"2015-03-02 08:00:00",1,17,17,1
"66",66,"2015-03-02 08:30:00",1,18,18,1
"67",67,"2015-03-02 09:00:00",1,19,19,1
"68",68,"2015-03-02 09:30:00",1,20,20,1
"69",69,"2015-03-02 10:00:00",1,21,21,1
"70",70,"2015-03-02 10:30:00",1,22,22,1
"71",71,"2015-03-02 11:00:00",1,23,23,1
"72",72,"2015-03-02 11:30:00",1,24,24,1
"73",73,"2015-03-02 12:00:00",1,25,25,1
"74",74,"2015-03-02 12:30:00",1,26,26,1
"75",75,"2015-03-02 13:00:00",1,27,27,1
"76",76,"2015-03-02 13:30:00",1,28,28,1
"77",77,"2015-03-02 14:00:00",1,29,29,1
"78",78,"2015-03-02 14:30:00",1,30,30,1
"79",79,"2015-03-02 15:00:00",1,31,31,1
"80",80,"2015-03-02 15:30:00",1,32,32,1
"81",81,"2015-03-02 16:00:00",1,33,33,1
"82",82,"2015-03-02 16:30:00",1,34,34,1
"83",83,"2015-03-02 17:00:00",1,35,35,1
"84",84,"2015-03-02 17:30:00",1,36,36,1
"85",85,"2015-03-02 18:00:00",1,37,37,1
"86",86,"2015-03-02 18:30:00",1,38,38,1
"87",87,"2015-03-02 19:00:00",1,39,39,1
"88",88,"2015-03-02 19:30:00",1,40,40,1
"89",89,"2015-03-02 20:00:00",1,41,41,1
"90",90,"2015-03-02 20:30:00",1,42,42,1
"91",91,"2015-03-02 21:00:00",1,43,43,1
"92",92,"2015-03-02 21:30:00",1,44,44,1
"93",93,"2015-03-02 22:00:00",1,45,45,1
"94",94,"2015-03-02 22:30:00",1,46,46,1
"95",95,"2015-03-02 23:00:00",1,47,47,1
"96",96,"2015-03-02 23:30:00",1,48,48,1
"97",97,"2015-03-03 00:00:00",2,1,49,1
"98",98,"2015-03-03 00:30:00",2,2,50,1
"99",99,"2015-03-03 01:00:00",2,3,51,1
"100",100,"2015-03-03 01:30:00",2,4,52,1
"101",101,"2015-03-03 02:00:00",2,5,53,1
"102",102,"2015-03-03 02:30:00",2,6,54,1
"103",103,"2015-03-03 03:00:00",2,7,55,1
"104",104,"2015-03-03 03:30:00",2,8,56,1
"105",105,"2015-03-03 04:00:00",2,9,57,1
"106",106,"2015-03-03 04:30:00",2,10,58,1
"107",107,"2015-03-03 05:00:00",2,11,59,1
"108",108,"2015-03-03 05:30:00",2,12,60,1
"109",109,"2015-03-03 06:00:00",2,13,61,1
"110",110,"2015-03-03 06:30:00",2,14,62,1
"111",111,"2015-03-03 07:00:00",2,15,63,1
"112",112,"2015-03-03 07:30:00",2,16,64,1
"113",113,"2015-03-03 08:00:00",2,17,65,1
"114",114,"2015-03-03 08:30:00",2,18,66,1
"115",115,"2015-03-03 09:00:00",2,19,67,1
"116",116,"2015-03-03 09:30:00",2,20,68,1
"117",117,"2015-03-03 10:00:00",2,21,69,1
"118",118,"2015-03-03 10:30:00",2,22,70,1
"119",119,"2015-03-03 11:00:00",2,23,71,1
"120",120,"2015-03-03 11:30:00",2,24,72,1
"121",121,"2015-03-03 12:00:00",2,25,73,1
"122",122,"2015-03-03 12:30:00",2,26,74,1
"123",123,"2015-03-03 13:00:00",2,27,75,1
"124",124,"2015-03-03 13:30:00",2,28,76,1
"125",125,"2015-03-03 14:00:00",2,29,77,1
"126",126,"2015-03-03 14:30:00",2,30,78,1
"127",127,"2015-03-03 15:00:00",2,31,79,1
"128",128,"2015-03-03 15:30:00",2,32,80,1
"129",129,"2015-03-03 16:00:00",2,33,81,1
"130",130,"2015-03-03 16:30:00",2,34,82,1
"131",131,"2015-03-03 17:00:00",2,35,83,1
"132",132,"2015-03-03 17:30:00",2,36,84,1
"133",133,"2015-03-03 18:00:00",2,37,85,1
"134",134,"2015-03-03 18:30:00",2,38,86,1
"135",135,"2015-03-03 19:00:00",2,39,87,1
"136",136,"2015-03-03 19:30:00",2,40,88,1
"137",137,"2015-03-03 20:00:00",2,41,89,1
"138",138,"2015-03-03 20:30:00",2,42,90,1
"139",139,"2015-03-03 21:00:00",2,43,91,1
"140",140,"2015-03-03 21:30:00",2,44,92,1
"141",141,"2015-03-03 22:00:00",2,45,93,1
"142",142,"2015-03-03 22:30:00",2,46,94,1
"143",143,"2015-03-03 23:00:00",2,47,95,1
"144",144,"2015-03-03 23:30:00",2,48,96,1
"145",145,"2015-03-04 00:00:00",3,1,97,1
"146",146,"2015-03-04 00:30:00",3,2,98,1
"147",147,"2015-03-04 01:00:00",3,3,99,1
"148",148,"2015-03-04 01:30:00",3,4,100,1
"149",149,"2015-03-04 02:00:00",3,5,101,1
"150",150,"2015-03-04 02:30:00",3,6,102,1
"151",151,"2015-03-04 03:00:00",3,7,103,1
"152",152,"2015-03-04 03:30:00",3,8,104,1
"153",153,"2015-03-04 04:00:00",3,9,105,1
"154",154,"2015-03-04 04:30:00",3,10,106,1
"155",155,"2015-03-04 05:00:00",3,11,107,1
"156",156,"2015-03-04 05:30:00",3,12,108,1
"157",157,"2015-03-04 06:00:00",3,13,109,1
"158",158,"2015-03-04 06:30:00",3,14,110,1
"159",159,"2015-03-04 07:00:00",3,15,111,1
"160",160,"2015-03-04 07:30:00",3,16,112,1
"161",161,"2015-03-04 08:00:00",3,17,113,1
"162",162,"2015-03-04 08:30:00",3,18,114,1
"163",163,"2015-03-04 09:00:00",3,19,115,1
"164",164,"2015-03-04 09:30:00",3,20,116,1
"165",165,"2015-03-04 10:00:00",3,21,117,1
"166",166,"2015-03-04 10:30:00",3,22,118,1
"167",167,"2015-03-04 11:00:00",3,23,119,1
"168",168,"2015-03-04 11:30:00",3,24,120,1
"169",169,"2015-03-04 12:00:00",3,25,121,1
"170",170,"2015-03-04 12:30:00",3,26,122,1
"171",171,"2015-03-04 13:00:00",3,27,123,1
"172",172,"2015-03-04 13:30:00",3,28,124,1
"173",173,"2015-03-04 14:00:00",3,29,125,1
"174",174,"2015-03-04 14:30:00",3,30,126,1
"175",175,"2015-03-04 15:00:00",3,31,127,1
"176",176,"2015-03-04 15:30:00",3,32,128,1
"177",177,"2015-03-04 16:00:00",3,33,129,1
"178",178,"2015-03-04 16:30:00",3,34,130,1
"179",179,"2015-03-04 17:00:00",3,35,131,1
"180",180,"2015-03-04 17:30:00",3,36,132,1
"181",181,"2015-03-04 18:00:00",3,37,133,1
"182",182,"2015-03-04 18:30:00",3,38,134,1
"183",183,"2015-03-04 19:00:00",3,39,135,1
"184",184,"2015-03-04 19:30:00",3,40,136,1
"185",185,"2015-03-04 20:00:00",3,41,137,1
"186",186,"2015-03-04 20:30:00",3,42,138,1
"187",187,"2015-03-04 21:00:00",3,43,139,1
"188",188,"2015-03-04 21:30:00",3,44,140,1
"189",189,"2015-03-04 22:00:00",3,45,141,1
"190",190,"2015-03-04 22:30:00",3,46,142,1
"191",191,"2015-03-04 23:00:00",3,47,143,1
"192",192,"2015-03-04 23:30:00",3,48,144,1
"193",193,"2015-03-05 00:00:00",4,1,145,1
"194",194,"2015-03-05 00:30:00",4,2,146,1
"195",195,"2015-03-05 01:00:00",4,3,147,1
"196",196,"2015-03-05 01:30:00",4,4,148,1
"197",197,"2015-03-05 02:00:00",4,5,149,1
"198",198,"2015-03-05 02:30:00",4,6,150,1
"199",199,"2015-03-05 03:00:00",4,7,151,1
"200",200,"2015-03-05 03:30:00",4,8,152,1
"201",201,"2015-03-05 04:00:00",4,9,153,1
"202",202,"2015-03-05 04:30:00",4,10,154,1
"203",203,"2015-03-05 05:00:00",4,11,155,1
"204",204,"2015-03-05 05:30:00",4,12,156,1
"205",205,"2015-03-05 06:00:00",4,13,157,1
"206",206,"2015-03-05 06:30:00",4,14,158,1
"207",207,"2015-03-05 07:00:00",4,15,159,1
"208",208,"2015-03-05 07:30:00",4,16,160,1
"209",209,"2015-03-05 08:00:00",4,17,161,1
"210",210,"2015-03-05 08:30:00",4,18,162,1
"211",211,"2015-03-05 09:00:00",4,19,163,1
"212",212,"2015-03-05 09:30:00",4,20,164,1
"213",213,"2015-03-05 10:00:00",4,21,165,1
"214",214,"2015-03-05 10:30:00",4,22,166,1
"215",215,"2015-03-05 11:00:00",4,23,167,1
"216",216,"2015-03-05 11:30:00",4,24,168,1
"217",217,"2015-03-05 12:00:00",4,25,169,1
"218",218,"2015-03-05 12:30:00",4,26,170,1
"219",219,"2015-03-05 13:00:00",4,27,171,1
"220",220,"2015-03-05 13:30:00",4,28,172,1
"221",221,"2015-03-05 14:00:00",4,29,173,1
"222",222,"2015-03-05 14:30:00",4,30,174,1
"223",223,"2015-03-05 15:00:00",4,31,175,1
"224",224,"2015-03-05 15:30:00",4,32,176,1
"225",225,"2015-03-05 16:00:00",4,33,177,1
"226",226,"2015-03-05 16:30:00",4,34,178,1
"227",227,"2015-03-05 17:00:00",4,35,179,1
"228",228,"2015-03-05 17:30:00",4,36,180,1
"229",229,"2015-03-05 18:00:00",4,37,181,1
"230",230,"2015-03-05 18:30:00",4,38,182,1
"231",231,"2015-03-05 19:00:00",4,39,183,1
"232",232,"2015-03-05 19:30:00",4,40,184,1
"233",233,"2015-03-05 20:00:00",4,41,185,1
"234",234,"2015-03-05 20:30:00",4,42,186,1
"235",235,"2015-03-05 21:00:00",4,43,187,1
"236",236,"2015-03-05 21:30:00",4,44,188,1
"237",237,"2015-03-05 22:00:00",4,45,189,1
"238",238,"2015-03-05 22:30:00",4,46,190,1
"239",239,"2015-03-05 23:00:00",4,47,191,1
"240",240,"2015-03-05 23:30:00",4,48,192,1
"241",241,"2015-03-06 00:00:00",5,1,193,1
"242",242,"2015-03-06 00:30:00",5,2,194,1
"243",243,"2015-03-06 01:00:00",5,3,195,1
"244",244,"2015-03-06 01:30:00",5,4,196,1
"245",245,"2015-03-06 02:00:00",5,5,197,1
"246",246,"2015-03-06 02:30:00",5,6,198,1
"247",247,"2015-03-06 03:00:00",5,7,199,1
"248",248,"2015-03-06 03:30:00",5,8,200,1
"249",249,"2015-03-06 04:00:00",5,9,201,1
"250",250,"2015-03-06 04:30:00",5,10,202,1
"251",251,"2015-03-06 05:00:00",5,11,203,1
"252",252,"2015-03-06 05:30:00",5,12,204,1
"253",253,"2015-03-06 06:00:00",5,13,205,1
"254",254,"2015-03-06 06:30:00",5,14,206,1
"255",255,"2015-03-06 07:00:00",5,15,207,1
"256",256,"2015-03-06 07:30:00",5,16,208,1
"257",257,"2015-03-06 08:00:00",5,17,209,1
"258",258,"2015-03-06 08:30:00",5,18,210,1
"259",259,"2015-03-06 09:00:00",5,19,211,1
"260",260,"2015-03-06 09:30:00",5,20,212,1
"261",261,"2015-03-06 10:00:00",5,21,213,1
"262",262,"2015-03-06 10:30:00",5,22,214,1
"263",263,"2015-03-06 11:00:00",5,23,215,1
"264",264,"2015-03-06 11:30:00",5,24,216,1
"265",265,"2015-03-06 12:00:00",5,25,217,1
"266",266,"2015-03-06 12:30:00",5,26,218,1
"267",267,"2015-03-06 13:00:00",5,27,219,1
"268",268,"2015-03-06 13:30:00",5,28,220,1
"269",269,"2015-03-06 14:00:00",5,29,221,1
"270",270,"2015-03-06 14:30:00",5,30,222,1
"271",271,"2015-03-06 15:00:00",5,31,223,1
"272",272,"2015-03-06 15:30:00",5,32,224,1
"273",273,"2015-03-06 16:00:00",5,33,225,1
"274",274,"2015-03-06 16:30:00",5,34,226,1
"275",275,"2015-03-06 17:00:00",5,35,227,1
"276",276,"2015-03-06 17:30:00",5,36,228,1
"277",277,"2015-03-06 18:00:00",5,37,229,1
"278",278,"2015-03-06 18:30:00",5,38,230,1
"279",279,"2015-03-06 19:00:00",5,39,231,1
"280",280,"2015-03-06 19:30:00",5,40,232,1
"281",281,"2015-03-06 20:00:00",5,41,233,1
"282",282,"2015-03-06 20:30:00",5,42,234,1
"283",283,"2015-03-06 21:00:00",5,43,235,1
"284",284,"2015-03-06 21:30:00",5,44,236,1
"285",285,"2015-03-06 22:00:00",5,45,237,1
"286",286,"2015-03-06 22:30:00",5,46,238,1
"287",287,"2015-03-06 23:00:00",5,47,239,1
"288",288,"2015-03-06 23:30:00",5,48,240,1
"289",289,"2015-03-07 00:00:00",6,1,241,1
"290",290,"2015-03-07 00:30:00",6,2,242,1
"291",291,"2015-03-07 01:00:00",6,3,243,1
"292",292,"2015-03-07 01:30:00",6,4,244,1
"293",293,"2015-03-07 02:00:00",6,5,245,1
"294",294,"2015-03-07 02:30:00",6,6,246,1
"295",295,"2015-03-07 03:00:00",6,7,247,1
"296",296,"2015-03-07 03:30:00",6,8,248,1
"297",297,"2015-03-07 04:00:00",6,9,249,1
"298",298,"2015-03-07 04:30:00",6,10,250,1
"299",299,"2015-03-07 05:00:00",6,11,251,1
"300",300,"2015-03-07 05:30:00",6,12,252,1
"301",301,"2015-03-07 06:00:00",6,13,253,1
"302",302,"2015-03-07 06:30:00",6,14,254,1
"303",303,"2015-03-07 07:00:00",6,15,255,1
"304",304,"2015-03-07 07:30:00",6,16,256,1
"305",305,"2015-03-07 08:00:00",6,17,257,1
"306",306,"2015-03-07 08:30:00",6,18,258,1
"307",307,"2015-03-07 09:00:00",6,19,259,1
"308",308,"2015-03-07 09:30:00",6,20,260,1
"309",309,"2015-03-07 10:00:00",6,21,261,1
"310",310,"2015-03-07 10:30:00",6,22,262,1
"311",311,"2015-03-07 11:00:00",6,23,263,1
"312",312,"2015-03-07 11:30:00",6,24,264,1
"313",313,"2015-03-07 12:00:00",6,25,265,1
"314",314,"2015-03-07 12:30:00",6,26,266,1
"315",315,"2015-03-07 13:00:00",6,27,267,1
"316",316,"2015-03-07 13:30:00",6,28,268,1
"317",317,"2015-03-07 14:00:00",6,29,269,1
"318",318,"2015-03-07 14:30:00",6,30,270,1
"319",319,"2015-03-07 15:00:00",6,31,271,1
"320",320,"2015-03-07 15:30:00",6,32,272,1
"321",321,"2015-03-07 16:00:00",6,33,273,1
"322",322,"2015-03-07 16:30:00",6,34,274,1
"323",323,"2015-03-07 17:00:00",6,35,275,1
"324",324,"2015-03-07 17:30:00",6,36,276,1
"325",325,"2015-03-07 18:00:00",6,37,277,1
"326",326,"2015-03-07 18:30:00",6,38,278,1
"327",327,"2015-03-07 19:00:00",6,39,279,1
"328",328,"2015-03-07 19:30:00",6,40,280,1
"329",329,"2015-03-07 20:00:00",6,41,281,1
"330",330,"2015-03-07 20:30:00",6,42,282,1
"331",331,"2015-03-07 21:00:00",6,43,283,1
"332",332,"2015-03-07 21:30:00",6,44,284,1
"333",333,"2015-03-07 22:00:00",6,45,285,1
"334",334,"2015-03-07 22:30:00",6,46,286,1
"335",335,"2015-03-07 23:00:00",6,47,287,1
"336",336,"2015-03-07 23:30:00",6,48,288,1
"337",337,"2015-03-08 00:00:00",7,1,289,1
"338",338,"2015-03-08 00:30:00",7,2,290,1
"339",339,"2015-03-08 01:00:00",7,3,291,1
"340",340,"2015-03-08 01:30:00",7,4,292,1
"341",341,"2015-03-08 03:00:00",7,5,293,1
"342",342,"2015-03-08 03:30:00",7,6,294,1
"343",343,"2015-03-08 04:00:00",7,7,295,1
"344",344,"2015-03-08 04:30:00",7,8,296,1
"345",345,"2015-03-08 05:00:00",7,9,297,1
"346",346,"2015-03-08 05:30:00",7,10,298,1
"347",347,"2015-03-08 06:00:00",7,11,299,1
"348",348,"2015-03-08 06:30:00",7,12,300,1
"349",349,"2015-03-08 07:00:00",7,13,301,1
"350",350,"2015-03-08 07:30:00",7,14,302,1
"351",351,"2015-03-08 08:00:00",7,15,303,1
"352",352,"2015-03-08 08:30:00",7,16,304,1
"353",353,"2015-03-08 09:00:00",7,17,305,1
"354",354,"2015-03-08 09:30:00",7,18,306,1
"355",355,"2015-03-08 10:00:00",7,19,307,1
"356",356,"2015-03-08 10:30:00",7,20,308,1
"357",357,"2015-03-08 11:00:00",7,21,309,1
"358",358,"2015-03-08 11:30:00",7,22,310,1
"359",359,"2015-03-08 12:00:00",7,23,311,1
"360",360,"2015-03-08 12:30:00",7,24,312,1
"361",361,"2015-03-08 13:00:00",7,25,313,1
"362",362,"2015-03-08 13:30:00",7,26,314,1
"363",363,"2015-03-08 14:00:00",7,27,315,1
"364",364,"2015-03-08 14:30:00",7,28,316,1
"365",365,"2015-03-08 15:00:00",7,29,317,1
"366",366,"2015-03-08 15:30:00",7,30,318,1
"367",367,"2015-03-08 16:00:00",7,31,319,1
"368",368,"2015-03-08 16:30:00",7,32,320,1
"369",369,"2015-03-08 17:00:00",7,33,321,1
"370",370,"2015-03-08 17:30:00",7,34,322,1
"371",371,"2015-03-08 18:00:00",7,35,323,1
"372",372,"2015-03-08 18:30:00",7,36,324,1
"373",373,"2015-03-08 19:00:00",7,37,325,1
"374",374,"2015-03-08 19:30:00",7,38,326,1
"375",375,"2015-03-08 20:00:00",7,39,327,1
"376",376,"2015-03-08 20:30:00",7,40,328,1
"377",377,"2015-03-08 21:00:00",7,41,329,1
"378",378,"2015-03-08 21:30:00",7,42,330,1
"379",379,"2015-03-08 22:00:00",7,43,331,1
"380",380,"2015-03-08 22:30:00",7,44,332,1
"381",381,"2015-03-08 23:00:00",7,45,333,1
"382",382,"2015-03-08 23:30:00",7,46,334,1
"383",383,"2015-03-09 00:00:00",1,1,1,2
"384",384,"2015-03-09 00:30:00",1,2,2,2
"385",385,"2015-03-09 01:00:00",1,3,3,2
"386",386,"2015-03-09 01:30:00",1,4,4,2
"387",387,"2015-03-09 02:00:00",1,5,5,2
"388",388,"2015-03-09 02:30:00",1,6,6,2
"389",389,"2015-03-09 03:00:00",1,7,7,2
"390",390,"2015-03-09 03:30:00",1,8,8,2
"391",391,"2015-03-09 04:00:00",1,9,9,2
"392",392,"2015-03-09 04:30:00",1,10,10,2
"393",393,"2015-03-09 05:00:00",1,11,11,2
"394",394,"2015-03-09 05:30:00",1,12,12,2
"395",395,"2015-03-09 06:00:00",1,13,13,2
"396",396,"2015-03-09 06:30:00",1,14,14,2
"397",397,"2015-03-09 07:00:00",1,15,15,2
"398",398,"2015-03-09 07:30:00",1,16,16,2
"399",399,"2015-03-09 08:00:00",1,17,17,2
"400",400,"2015-03-09 08:30:00",1,18,18,2
"401",401,"2015-03-09 09:00:00",1,19,19,2
"402",402,"2015-03-09 09:30:00",1,20,20,2
"403",403,"2015-03-09 10:00:00",1,21,21,2
"404",404,"2015-03-09 10:30:00",1,22,22,2
"405",405,"2015-03-09 11:00:00",1,23,23,2
"406",406,"2015-03-09 11:30:00",1,24,24,2
"407",407,"2015-03-09 12:00:00",1,25,25,2
"408",408,"2015-03-09 12:30:00",1,26,26,2
"409",409,"2015-03-09 13:00:00",1,27,27,2
"410",410,"2015-03-09 13:30:00",1,28,28,2
"411",411,"2015-03-09 14:00:00",1,29,29,2
"412",412,"2015-03-09 14:30:00",1,30,30,2
"413",413,"2015-03-09 15:00:00",1,31,31,2
"414",414,"2015-03-09 15:30:00",1,32,32,2
"415",415,"2015-03-09 16:00:00",1,33,33,2
"416",416,"2015-03-09 16:30:00",1,34,34,2
"417",417,"2015-03-09 17:00:00",1,35,35,2
"418",418,"2015-03-09 17:30:00",1,36,36,2
"419",419,"2015-03-09 18:00:00",1,37,37,2
"420",420,"2015-03-09 18:30:00",1,38,38,2
"421",421,"2015-03-09 19:00:00",1,39,39,2
"422",422,"2015-03-09 19:30:00",1,40,40,2
"423",423,"2015-03-09 20:00:00",1,41,41,2
"424",424,"2015-03-09 20:30:00",1,42,42,2
"425",425,"2015-03-09 21:00:00",1,43,43,2
"426",426,"2015-03-09 21:30:00",1,44,44,2
"427",427,"2015-03-09 22:00:00",1,45,45,2
"428",428,"2015-03-09 22:30:00",1,46,46,2
"429",429,"2015-03-09 23:00:00",1,47,47,2
"430",430,"2015-03-09 23:30:00",1,48,48,2
"431",431,"2015-03-10 00:00:00",2,1,49,2
"432",432,"2015-03-10 00:30:00",2,2,50,2
"433",433,"2015-03-10 01:00:00",2,3,51,2
"434",434,"2015-03-10 01:30:00",2,4,52,2
"435",435,"2015-03-10 02:00:00",2,5,53,2
"436",436,"2015-03-10 02:30:00",2,6,54,2
"437",437,"2015-03-10 03:00:00",2,7,55,2
"438",438,"2015-03-10 03:30:00",2,8,56,2
"439",439,"2015-03-10 04:00:00",2,9,57,2
"440",440,"2015-03-10 04:30:00",2,10,58,2
"441",441,"2015-03-10 05:00:00",2,11,59,2
"442",442,"2015-03-10 05:30:00",2,12,60,2
"443",443,"2015-03-10 06:00:00",2,13,61,2
"444",444,"2015-03-10 06:30:00",2,14,62,2
"445",445,"2015-03-10 07:00:00",2,15,63,2
"446",446,"2015-03-10 07:30:00",2,16,64,2
"447",447,"2015-03-10 08:00:00",2,17,65,2
"448",448,"2015-03-10 08:30:00",2,18,66,2
"449",449,"2015-03-10 09:00:00",2,19,67,2
"450",450,"2015-03-10 09:30:00",2,20,68,2
"451",451,"2015-03-10 10:00:00",2,21,69,2
"452",452,"2015-03-10 10:30:00",2,22,70,2
"453",453,"2015-03-10 11:00:00",2,23,71,2
"454",454,"2015-03-10 11:30:00",2,24,72,2
"455",455,"2015-03-10 12:00:00",2,25,73,2
"456",456,"2015-03-10 12:30:00",2,26,74,2
"457",457,"2015-03-10 13:00:00",2,27,75,2
"458",458,"2015-03-10 13:30:00",2,28,76,2
"459",459,"2015-03-10 14:00:00",2,29,77,2
"460",460,"2015-03-10 14:30:00",2,30,78,2
"461",461,"2015-03-10 15:00:00",2,31,79,2
"462",462,"2015-03-10 15:30:00",2,32,80,2
"463",463,"2015-03-10 16:00:00",2,33,81,2
"464",464,"2015-03-10 16:30:00",2,34,82,2
"465",465,"2015-03-10 17:00:00",2,35,83,2
"466",466,"2015-03-10 17:30:00",2,36,84,2
"467",467,"2015-03-10 18:00:00",2,37,85,2
"468",468,"2015-03-10 18:30:00",2,38,86,2
"469",469,"2015-03-10 19:00:00",2,39,87,2
"470",470,"2015-03-10 19:30:00",2,40,88,2
"471",471,"2015-03-10 20:00:00",2,41,89,2
"472",472,"2015-03-10 20:30:00",2,42,90,2
"473",473,"2015-03-10 21:00:00",2,43,91,2
"474",474,"2015-03-10 21:30:00",2,44,92,2
"475",475,"2015-03-10 22:00:00",2,45,93,2
"476",476,"2015-03-10 22:30:00",2,46,94,2
"477",477,"2015-03-10 23:00:00",2,47,95,2
"478",478,"2015-03-10 23:30:00",2,48,96,2
"479",479,"2015-03-11 00:00:00",3,1,97,2
"480",480,"2015-03-11 00:30:00",3,2,98,2
"481",481,"2015-03-11 01:00:00",3,3,99,2
"482",482,"2015-03-11 01:30:00",3,4,100,2
"483",483,"2015-03-11 02:00:00",3,5,101,2
"484",484,"2015-03-11 02:30:00",3,6,102,2
"485",485,"2015-03-11 03:00:00",3,7,103,2
"486",486,"2015-03-11 03:30:00",3,8,104,2
"487",487,"2015-03-11 04:00:00",3,9,105,2
"488",488,"2015-03-11 04:30:00",3,10,106,2
"489",489,"2015-03-11 05:00:00",3,11,107,2
"490",490,"2015-03-11 05:30:00",3,12,108,2
"491",491,"2015-03-11 06:00:00",3,13,109,2
"492",492,"2015-03-11 06:30:00",3,14,110,2
"493",493,"2015-03-11 07:00:00",3,15,111,2
"494",494,"2015-03-11 07:30:00",3,16,112,2
"495",495,"2015-03-11 08:00:00",3,17,113,2
"496",496,"2015-03-11 08:30:00",3,18,114,2
"497",497,"2015-03-11 09:00:00",3,19,115,2
"498",498,"2015-03-11 09:30:00",3,20,116,2
"499",499,"2015-03-11 10:00:00",3,21,117,2
"500",500,"2015-03-11 10:30:00",3,22,118,2
"501",501,"2015-03-11 11:00:00",3,23,119,2
"502",502,"2015-03-11 11:30:00",3,24,120,2
"503",503,"2015-03-11 12:00:00",3,25,121,2
"504",504,"2015-03-11 12:30:00",3,26,122,2
"505",505,"2015-03-11 13:00:00",3,27,123,2
"506",506,"2015-03-11 13:30:00",3,28,124,2
"507",507,"2015-03-11 14:00:00",3,29,125,2
"508",508,"2015-03-11 14:30:00",3,30,126,2
"509",509,"2015-03-11 15:00:00",3,31,127,2
"510",510,"2015-03-11 15:30:00",3,32,128,2
"511",511,"2015-03-11 16:00:00",3,33,129,2
"512",512,"2015-03-11 16:30:00",3,34,130,2
"513",513,"2015-03-11 17:00:00",3,35,131,2
"514",514,"2015-03-11 17:30:00",3,36,132,2
"515",515,"2015-03-11 18:00:00",3,37,133,2
"516",516,"2015-03-11 18:30:00",3,38,134,2
